minimum_clique_size,reciprocity_threshold,pair_id,subject,orcid,tier_type,clique_member
3,0.25,1270,1,0000-0001-5627-8018,Case,True
3,0.25,1271,1,0000-0001-5629-1538,Case,True
3,0.25,1275,1,0000-0001-5634-015X,Case,True
3,0.25,1281,1,0000-0001-5635-6100,Case,True
3,0.25,1282,1,0000-0001-5636-5082,Case,True
3,0.25,1283,1,0000-0001-5636-977X,Case,True
3,0.25,1284,1,0000-0001-5637-0631,Case,True
3,0.25,1286,1,0000-0001-5637-419X,Case,True
3,0.25,1287,1,0000-0001-5638-1779,Case,True
3,0.25,1289,1,0000-0001-5639-0835,Case,True
3,0.25,1295,1,0000-0001-5641-1843,Case,True
3,0.25,1297,1,0000-0001-5642-4521,Case,True
3,0.25,1307,1,0000-0001-5647-1192,Case,True
3,0.25,1311,1,0000-0001-5649-1126,Case,True
3,0.25,1316,1,0000-0001-5651-0323,Case,True
3,0.25,1317,1,0000-0001-5655-2929,Case,True
3,0.25,1319,1,0000-0001-5655-3913,Case,True
3,0.25,1320,1,0000-0001-5655-510X,Case,True
3,0.25,1321,1,0000-0001-5655-6567,Case,True
3,0.25,1322,1,0000-0001-5656-2596,Case,True
3,0.25,1323,1,0000-0001-5656-2764,Case,True
3,0.25,1327,1,0000-0001-5657-7851,Case,True
3,0.25,1328,1,0000-0001-5657-9486,Case,True
3,0.25,1340,1,0000-0001-5665-3009,Case,True
3,0.25,1341,1,0000-0001-5665-6111,Case,True
3,0.25,1342,1,0000-0001-5665-7835,Case,True
3,0.25,1350,1,0000-0001-5670-9607,Case,True
3,0.25,1351,1,0000-0001-5671-2240,Case,True
3,0.25,1366,1,0000-0001-5678-2206,Case,True
3,0.25,1367,1,0000-0001-5679-1698,Case,True
3,0.25,1369,1,0000-0001-5680-4663,Case,True
3,0.25,1370,1,0000-0001-5680-7880,Case,True
3,0.25,1374,1,0000-0001-5682-8294,Case,True
3,0.25,1376,1,0000-0001-5685-6834,Case,True
3,0.25,1377,1,0000-0001-5685-8784,Case,True
3,0.25,1378,1,0000-0001-5686-579X,Case,True
3,0.25,1383,1,0000-0001-5687-7168,Case,True
3,0.25,1386,1,0000-0001-5689-2077,Case,True
3,0.25,1390,1,0000-0001-5689-7628,Case,True
3,0.25,1392,1,0000-0001-5690-4277,Case,True
3,0.25,1394,1,0000-0001-5691-5398,Case,True
3,0.25,1395,1,0000-0001-5691-7588,Case,True
3,0.25,1396,1,0000-0001-5692-0429,Case,True
3,0.25,1397,1,0000-0001-5693-4054,Case,True
3,0.25,1402,1,0000-0001-5695-8048,Case,True
3,0.25,1407,1,0000-0001-5698-3665,Case,True
3,0.25,1409,1,0000-0001-5699-3695,Case,True
3,0.25,1418,1,0000-0001-5705-215X,Case,True
3,0.25,1420,1,0000-0001-5705-7057,Case,True
3,0.25,1422,1,0000-0001-5706-6228,Case,True
3,0.25,1424,1,0000-0001-5706-7351,Case,True
3,0.25,1427,1,0000-0001-5708-2463,Case,True
3,0.25,1431,1,0000-0001-5711-3629,Case,True
3,0.25,1433,1,0000-0001-5714-5495,Case,True
3,0.25,1435,1,0000-0001-5716-4397,Case,True
3,0.25,1441,1,0000-0001-5723-2062,Case,True
3,0.25,1453,1,0000-0001-5728-8883,Case,True
3,0.25,1458,1,0000-0001-5730-2593,Case,True
3,0.25,1459,1,0000-0001-5730-3684,Case,True
3,0.25,1460,1,0000-0001-5730-4767,Case,True
3,0.25,1465,1,0000-0001-5733-953X,Case,True
3,0.25,1470,1,0000-0001-5736-5519,Case,True
3,0.25,1471,1,0000-0001-5736-9624,Case,True
3,0.25,1478,1,0000-0001-5741-9804,Case,True
3,0.25,1480,1,0000-0001-5742-3459,Case,True
3,0.25,1481,1,0000-0001-5742-8356,Case,True
3,0.25,1483,1,0000-0001-5743-1205,Case,True
3,0.25,1484,1,0000-0001-5743-1344,Case,True
3,0.25,1489,1,0000-0001-5745-8061,Case,True
3,0.25,1490,1,0000-0001-5746-316X,Case,True
3,0.25,1502,1,0000-0001-5752-3003,Case,True
3,0.25,1505,1,0000-0001-5752-8883,Case,True
3,0.25,1506,1,0000-0001-5753-0019,Case,True
3,0.25,1511,1,0000-0001-5755-6470,Case,True
3,0.25,1513,1,0000-0001-5755-8943,Case,True
3,0.25,1514,1,0000-0001-5756-4999,Case,True
3,0.25,1517,1,0000-0001-5757-2841,Case,True
3,0.25,1521,1,0000-0001-5758-8552,Case,True
3,0.25,1522,1,0000-0001-5759-6288,Case,True
3,0.25,1523,1,0000-0001-5759-8443,Case,True
3,0.25,1525,1,0000-0001-5762-8294,Case,True
3,0.25,1529,1,0000-0001-5765-3158,Case,True
3,0.25,1530,1,0000-0001-5766-0841,Case,True
3,0.25,1538,1,0000-0001-5770-7304,Case,True
3,0.25,1540,1,0000-0001-5772-4067,Case,True
3,0.25,1542,1,0000-0001-5772-9271,Case,True
3,0.25,1545,1,0000-0001-5775-3343,Case,True
3,0.25,1546,1,0000-0001-5775-3909,Case,True
3,0.25,1552,1,0000-0001-5778-1504,Case,True
3,0.25,1556,1,0000-0001-5780-6660,Case,True
3,0.25,1560,1,0000-0001-5782-3452,Case,True
3,0.25,1565,1,0000-0001-5784-1263,Case,True
3,0.25,1570,1,0000-0001-5787-3900,Case,True
3,0.25,1571,1,0000-0001-5787-484X,Case,True
3,0.25,1573,1,0000-0001-5787-8269,Case,True
3,0.25,1579,1,0000-0001-5790-6223,Case,True
3,0.25,1582,1,0000-0001-5792-2012,Case,True
3,0.25,1583,1,0000-0001-5792-3912,Case,True
3,0.25,1585,1,0000-0001-5793-5753,Case,True
3,0.25,1587,1,0000-0001-5795-2393,Case,True
3,0.25,1590,1,0000-0001-5795-9827,Case,True
3,0.25,1597,1,0000-0001-5798-9209,Case,True
3,0.25,1598,1,0000-0001-5799-0816,Case,True
3,0.25,1599,1,0000-0001-5799-7233,Case,True
3,0.25,1602,1,0000-0001-5801-0023,Case,True
3,0.25,1609,1,0000-0001-5803-1668,Case,True
3,0.25,1613,1,0000-0001-5804-9497,Case,True
3,0.25,1614,1,0000-0001-5805-486X,Case,True
3,0.25,1615,1,0000-0001-5805-6179,Case,True
3,0.25,1616,1,0000-0001-5805-726X,Case,True
3,0.25,1620,1,0000-0001-5808-2246,Case,True
3,0.25,1622,1,0000-0001-5809-8563,Case,True
3,0.25,1628,1,0000-0001-5813-2055,Case,True
3,0.25,1635,1,0000-0001-5816-1681,Case,True
3,0.25,1636,1,0000-0001-5816-3476,Case,True
3,0.25,1637,1,0000-0001-5816-4620,Case,True
3,0.25,1639,1,0000-0001-5817-0924,Case,True
3,0.25,1641,1,0000-0001-5819-1602,Case,True
3,0.25,1647,1,0000-0001-5821-7059,Case,True
3,0.25,1659,1,0000-0001-5827-3384,Case,True
3,0.25,1664,1,0000-0001-5830-5235,Case,True
3,0.25,1668,1,0000-0001-5834-6969,Case,True
3,0.25,1669,1,0000-0001-5834-8331,Case,True
3,0.25,1673,1,0000-0001-5837-7255,Case,True
3,0.25,1674,1,0000-0001-5837-9584,Case,True
3,0.25,1676,1,0000-0001-5838-4383,Case,True
3,0.25,1677,1,0000-0001-5839-1858,Case,True
