replicate,graph_null_reciprocal_clique_count,label_swap_case_membership_share
349,1.0,0.6385542168674698
350,1.0,0.46987951807228917
351,0.0,0.5301204819277109
352,1.0,0.5542168674698795
353,0.0,0.6385542168674698
354,0.0,0.5542168674698795
355,0.0,0.6867469879518072
356,0.0,0.6024096385542169
357,1.0,0.5542168674698795
358,1.0,0.5180722891566265
359,0.0,0.4819277108433735
360,1.0,0.5662650602409639
361,0.0,0.4939759036144578
362,0.0,0.6024096385542169
363,1.0,0.4578313253012048
364,1.0,0.5421686746987951
365,1.0,0.7108433734939759
366,1.0,0.5542168674698795
367,0.0,0.40963855421686746
368,0.0,0.5542168674698795
369,1.0,0.5903614457831325
370,0.0,0.40963855421686746
371,1.0,0.5542168674698795
372,1.0,0.5542168674698795
373,1.0,0.5421686746987951
374,0.0,0.5421686746987951
375,1.0,0.5903614457831325
376,0.0,0.3493975903614458
377,1.0,0.5903614457831325
378,1.0,0.42168674698795183
379,0.0,0.40963855421686746
380,2.0,0.46987951807228917
381,3.0,0.5542168674698795
382,0.0,0.42168674698795183
383,1.0,0.40963855421686746
384,0.0,0.39759036144578314
385,0.0,0.5662650602409639
386,0.0,0.40963855421686746
387,1.0,0.5180722891566265
388,0.0,0.3132530120481928
389,2.0,0.42168674698795183
390,0.0,0.5301204819277109
391,0.0,0.5180722891566265
392,0.0,0.6265060240963856
393,0.0,0.6385542168674698
394,1.0,0.5903614457831325
395,1.0,0.3855421686746988
396,0.0,0.4819277108433735
397,2.0,0.46987951807228917
398,3.0,0.4939759036144578
399,0.0,0.4819277108433735
400,0.0,0.46987951807228917
401,2.0,0.4578313253012048
402,0.0,0.5421686746987951
403,0.0,0.6024096385542169
404,1.0,0.5301204819277109
405,1.0,0.5180722891566265
406,0.0,0.42168674698795183
407,0.0,0.3373493975903614
408,2.0,0.5662650602409639
409,1.0,0.5060240963855421
410,1.0,0.40963855421686746
411,0.0,0.5542168674698795
412,1.0,0.3614457831325301
413,2.0,0.3855421686746988
414,0.0,0.46987951807228917
415,0.0,0.5662650602409639
416,2.0,0.5301204819277109
417,0.0,0.5060240963855421
418,2.0,0.4939759036144578
419,1.0,0.3855421686746988
420,1.0,0.46987951807228917
421,1.0,0.5060240963855421
422,1.0,0.4939759036144578
423,0.0,0.46987951807228917
424,5.0,0.46987951807228917
425,0.0,0.4939759036144578
426,0.0,0.5542168674698795
427,0.0,0.39759036144578314
428,0.0,0.46987951807228917
429,0.0,0.3373493975903614
430,0.0,0.39759036144578314
431,1.0,0.5542168674698795
432,2.0,0.43373493975903615
433,0.0,0.5301204819277109
434,2.0,0.42168674698795183
435,2.0,0.5060240963855421
436,0.0,0.5301204819277109
437,2.0,0.5542168674698795
438,1.0,0.5301204819277109
439,0.0,0.5301204819277109
440,1.0,0.3855421686746988
441,0.0,0.43373493975903615
442,0.0,0.6024096385542169
443,0.0,0.6144578313253012
444,1.0,0.4939759036144578
445,0.0,0.5421686746987951
446,0.0,0.4457831325301205
447,0.0,0.46987951807228917
448,3.0,0.3493975903614458
449,1.0,0.42168674698795183
450,1.0,0.5662650602409639
451,2.0,0.5421686746987951
452,1.0,0.6385542168674698
453,2.0,0.5662650602409639
454,0.0,0.3493975903614458
455,1.0,0.40963855421686746
456,1.0,0.37349397590361444
457,0.0,0.42168674698795183
458,1.0,0.4819277108433735
459,1.0,0.6385542168674698
460,1.0,0.3855421686746988
461,1.0,0.5060240963855421
462,0.0,0.5180722891566265
463,0.0,0.42168674698795183
464,1.0,0.4939759036144578
465,0.0,0.6265060240963856
466,1.0,0.5662650602409639
467,0.0,0.40963855421686746
468,0.0,0.5301204819277109
469,0.0,0.4939759036144578
470,1.0,0.6385542168674698
471,3.0,0.5903614457831325
472,0.0,0.6024096385542169
473,0.0,0.6024096385542169
474,1.0,0.5301204819277109
475,0.0,0.5421686746987951
476,1.0,0.5301204819277109
477,0.0,0.5421686746987951
478,0.0,0.5301204819277109
479,1.0,0.5301204819277109
480,2.0,0.4457831325301205
481,0.0,0.5180722891566265
482,0.0,0.5180722891566265
483,0.0,0.4819277108433735
484,1.0,0.5662650602409639
485,2.0,0.39759036144578314
486,2.0,0.5421686746987951
487,1.0,0.46987951807228917
488,0.0,0.5783132530120482
489,1.0,0.4939759036144578
490,0.0,0.4939759036144578
491,0.0,0.46987951807228917
492,1.0,0.4578313253012048
493,0.0,0.3855421686746988
494,2.0,0.5783132530120482
495,0.0,0.5060240963855421
496,1.0,0.5421686746987951
497,2.0,0.5060240963855421
498,0.0,0.5301204819277109
499,2.0,0.37349397590361444
